epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.784,1.52979,4.71566,2.0582,0.4483,0.19705,0.12543,0.06568,1.55227,4.78388,2.00002,8.28924e-05,8.28924e-05,8.28924e-05
2,12186.7,1.15928,3.91969,1.65798,0.18069,0.54818,0.2738,0.13256,1.81185,4.20948,2.28082,0.00016473,0.00016473,0.00016473
3,12473.5,1.1727,3.49908,1.65505,0.53345,0.44568,0.52487,0.21871,2.05256,3.90586,2.74857,0.000245067,0.000245067,0.000245067
4,12758,1.15602,3.22196,1.62431,0.39584,0.6073,0.6159,0.26554,2.08934,3.31148,2.75545,0.00024325,0.00024325,0.00024325
5,13043.7,1.14242,2.9312,1.60805,0.49326,0.73091,0.65497,0.32152,1.88104,2.97499,2.46187,0.000241,0.000241,0.000241
6,13330.3,1.07843,2.70054,1.54702,0.72365,0.59618,0.7438,0.41358,1.62653,2.80427,2.03439,0.00023875,0.00023875,0.00023875
7,13616.8,1.0513,2.56701,1.51353,0.74542,0.70174,0.81523,0.447,1.71326,2.42246,2.16748,0.0002365,0.0002365,0.0002365
8,13903.3,1.03517,2.39821,1.49142,0.7997,0.69882,0.83333,0.5332,1.44724,2.17037,1.82853,0.00023425,0.00023425,0.00023425
9,14190.9,1.0224,2.30991,1.47806,0.78463,0.74122,0.85236,0.53459,1.50985,2.08479,1.90639,0.000232,0.000232,0.000232
10,14478.4,1.01677,2.21168,1.48561,0.69831,0.8163,0.8648,0.4844,1.70112,2.0913,2.21932,0.00022975,0.00022975,0.00022975
11,14766.2,0.97718,2.09051,1.45315,0.82024,0.6874,0.86298,0.58165,1.24259,1.82206,1.61181,0.0002275,0.0002275,0.0002275
12,15053.7,0.97253,2.02335,1.44776,0.78099,0.81921,0.88305,0.45433,1.8704,1.97017,2.40704,0.00022525,0.00022525,0.00022525
13,15341.1,0.96397,1.92417,1.43355,0.89271,0.71863,0.89177,0.56833,1.41243,1.6955,1.83334,0.000223,0.000223,0.000223
14,15627.9,0.95724,1.87608,1.4367,0.77278,0.77584,0.89815,0.6228,1.20591,1.59175,1.58089,0.00022075,0.00022075,0.00022075
15,15924.1,0.93729,1.82257,1.41264,0.79626,0.82085,0.91386,0.56721,1.49648,1.58796,1.96616,0.0002185,0.0002185,0.0002185
16,16213,0.93426,1.76411,1.41697,0.75972,0.81269,0.89507,0.6649,1.02224,1.51678,1.42567,0.00021625,0.00021625,0.00021625
17,16500.2,0.92903,1.72654,1.39962,0.8559,0.83811,0.9495,0.61823,1.36403,1.40655,1.76343,0.000214,0.000214,0.000214
18,16785.8,0.90125,1.65751,1.38468,0.83914,0.87604,0.93667,0.61719,1.35742,1.38843,1.79737,0.00021175,0.00021175,0.00021175
19,17071.2,0.91741,1.59787,1.40147,0.84569,0.82244,0.91745,0.72155,0.91163,1.31972,1.34451,0.0002095,0.0002095,0.0002095
20,17357.8,0.88785,1.60749,1.38932,0.83256,0.858,0.93026,0.71741,0.96109,1.26526,1.365,0.00020725,0.00020725,0.00020725
21,17645.8,0.91459,1.5739,1.39665,0.85137,0.85313,0.93,0.71686,0.99585,1.24447,1.40068,0.000205,0.000205,0.000205
22,17932.2,0.8849,1.48384,1.36911,0.83753,0.85308,0.93374,0.66556,1.15398,1.28173,1.54022,0.00020275,0.00020275,0.00020275
23,18219.5,0.87827,1.47013,1.3593,0.85128,0.86091,0.94157,0.63519,1.30294,1.20158,1.73784,0.0002005,0.0002005,0.0002005
24,18506.7,0.89244,1.50239,1.3766,0.86361,0.87035,0.95345,0.72761,1.01103,1.0939,1.42475,0.00019825,0.00019825,0.00019825
