epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,741.752,1.03398,4.35693,1.46987,0.32358,0.256,0.15262,0.11393,0.98936,4.44972,1.43612,8.28924e-05,8.28924e-05,8.28924e-05
2,1204.83,0.91061,3.64812,1.3671,0.1616,0.58547,0.29509,0.21478,1.03092,3.90463,1.47033,0.000162934,0.000162934,0.000162934
3,1891.34,0.89822,3.22978,1.35839,0.29197,0.59859,0.415,0.31389,0.9043,3.2667,1.36668,0.000239677,0.000239677,0.000239677
4,2645.83,0.87046,2.91387,1.32673,0.38633,0.6085,0.55445,0.44548,0.80107,3.05945,1.25808,0.00023515,0.00023515,0.00023515
5,3010.53,0.83885,2.6419,1.29613,0.56489,0.63259,0.68125,0.53496,0.87423,2.67313,1.32151,0.0002302,0.0002302,0.0002302
6,3344.21,0.84609,2.43948,1.28464,0.55481,0.71571,0.78092,0.61552,0.8676,2.44999,1.2983,0.00022525,0.00022525,0.00022525
7,3803.39,0.80616,2.25005,1.25607,0.62117,0.77111,0.80232,0.63053,0.87044,2.2451,1.28786,0.0002203,0.0002203,0.0002203
8,4722.47,0.80224,2.14122,1.24825,0.69199,0.80905,0.83922,0.66322,0.92258,2.02616,1.33424,0.00021535,0.00021535,0.00021535
9,5317.31,0.79008,2.00982,1.23553,0.78494,0.70468,0.84541,0.6948,0.79389,1.91993,1.23021,0.0002104,0.0002104,0.0002104
10,6147.02,0.78663,1.90688,1.23064,0.77262,0.79232,0.86412,0.68223,0.92478,1.91157,1.35603,0.00020545,0.00020545,0.00020545
11,6945.64,0.753,1.84156,1.21675,0.8706,0.75497,0.90407,0.71882,0.90678,1.69545,1.33514,0.0002005,0.0002005,0.0002005
12,7773.73,0.73533,1.72309,1.18784,0.80325,0.82355,0.89324,0.71065,0.8708,1.77164,1.29623,0.00019555,0.00019555,0.00019555
13,8592.48,0.75068,1.68205,1.20036,0.75811,0.88542,0.91556,0.74267,0.86983,1.62024,1.27231,0.0001906,0.0001906,0.0001906
14,9364.64,0.73081,1.59961,1.1865,0.81326,0.82601,0.90488,0.69341,1.00146,1.6206,1.41151,0.00018565,0.00018565,0.00018565
