                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86153,                 4.8026,                 1.4703,                0.77958,                 12.125,                 1.4236,                0.00838,                0.89119,                0.06088,                0.04429,                0.95902,                 4.9623,                 1.4137,                0.74796,                 13.005,                 1.3121,             0.00010869,             0.00010869,             0.00010869
                      2,                0.63077,                 4.1296,                 1.1961,                0.58669,                  10.67,                 1.1589,                0.00391,                0.99038,                0.23746,                0.17685,                 1.0782,                 4.3519,                 1.4795,                0.88923,                 12.236,                 1.3719,             0.00019794,             0.00019794,             0.00019794
                      3,                0.63447,                 3.4221,                 1.1941,                 0.5987,                  9.549,                 1.1508,                0.51501,                0.28657,                0.33896,                0.27613,                0.99924,                 3.4892,                 1.3957,                0.89077,                 10.621,                  1.292,             0.00026521,             0.00026521,             0.00026521
                      4,                0.60008,                 2.7283,                 1.1438,                 0.5759,                 8.5059,                   1.12,                0.53823,                0.48134,                 0.5395,                0.46904,                0.75201,                  2.759,                 1.1767,                0.72447,                 9.1155,                 1.1594,              0.0002341,              0.0002341,              0.0002341
                      5,                0.58773,                 2.2686,                 1.1135,                0.57881,                 7.6893,                 1.1083,                0.40143,                0.55398,                0.56499,                0.48006,                0.85955,                 2.7797,                 1.2388,                0.82111,                 8.6351,                 1.1968,              0.0002341,              0.0002341,              0.0002341
                      6,                0.56069,                 1.8821,                 1.0844,                0.55136,                 6.9935,                 1.0761,                0.49803,                0.59765,                0.64952,                0.55999,                0.73318,                 2.1146,                 1.1613,                0.71887,                 7.5972,                 1.1534,             0.00020113,             0.00020113,             0.00020113
                      7,                0.53614,                 1.6253,                 1.0702,                0.53467,                  6.358,                 1.0691,                 0.5224,                0.61949,                0.66959,                0.55091,                0.83092,                 1.8768,                 1.2092,                0.83618,                 7.1486,                 1.2224,             0.00016817,             0.00016817,             0.00016817
                      8,                  0.502,                 1.4275,                 1.0395,                0.51588,                 5.8942,                 1.0476,                0.62766,                0.62273,                0.71708,                0.61399,                0.74057,                 1.7541,                 1.1103,                0.74006,                 6.5586,                 1.1317,              0.0001352,              0.0001352,              0.0001352
                      9,                0.48501,                 1.2886,                 1.0217,                0.48474,                 5.4927,                 1.0234,                0.57923,                0.70843,                0.71517,                0.61375,                0.74587,                 1.5911,                 1.1296,                0.75552,                 6.1696,                 1.1553,             0.00010223,             0.00010223,             0.00010223
                     10,                0.46868,                 1.1839,                 1.0069,                 0.4709,                  5.198,                 1.0113,                0.60371,                0.73954,                0.76464,                0.62576,                0.88072,                 1.6179,                 1.2399,                0.88286,                 6.0895,                 1.2588,             6.9264e-05,             6.9264e-05,             6.9264e-05
