                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1472,                 3.9584,                 1.6742,                 1.0492,                  10.39,                 1.6249,                0.25496,                0.31308,                0.22316,                 0.1792,                0.85202,                 3.9679,                 1.3523,                0.76673,                 9.0052,                 1.2968,             0.00010869,             0.00010869,             0.00010869
                      2,                0.89962,                  2.423,                 1.3824,                   0.87,                 4.0635,                 1.3702,                0.39958,                0.46243,                0.40189,                0.33453,                 0.7198,                 2.7871,                 1.2859,                0.73445,                 4.5605,                 1.3151,             0.00021896,             0.00021896,             0.00021896
                      3,                0.88668,                 2.0885,                 1.3564,                0.90837,                 2.8765,                 1.3706,                0.36869,                0.53473,                0.46968,                0.36224,                0.90846,                 2.8256,                 1.6429,                0.86757,                 4.1413,                 1.6697,              0.0003285,              0.0003285,              0.0003285
                      4,                0.93377,                 1.9593,                 1.3832,                0.96624,                 2.4771,                 1.4055,                0.53998,                0.43524,                0.40716,                0.33575,                0.88221,                 3.0673,                 1.5852,                0.89908,                 3.8488,                 1.6126,              0.0003297,              0.0003297,              0.0003297
                      5,                0.87478,                 1.6971,                 1.3144,                 0.9355,                   2.08,                 1.3565,                0.53746,                0.63178,                0.65037,                0.50807,                0.91453,                 1.4964,                 1.5704,                 1.0505,                 2.1868,                 1.7354,              0.0003297,              0.0003297,              0.0003297
                      6,                0.86945,                 1.6373,                 1.3111,                 0.9234,                 2.0097,                 1.3534,                0.60841,                 0.6065,                0.67482,                0.53338,                0.84152,                 1.2199,                 1.3346,                0.88979,                 1.7084,                 1.3868,              0.0003286,              0.0003286,              0.0003286
                      7,                0.86006,                 1.5427,                 1.3022,                0.92655,                 1.8919,                 1.3623,                0.53387,                0.71832,                0.71619,                0.57994,                0.82485,                 1.1179,                 1.3838,                0.86765,                 1.4776,                 1.4071,             0.00032751,             0.00032751,             0.00032751
                      8,                0.83501,                 1.4286,                 1.2706,                0.88663,                 1.7562,                 1.3111,                0.63405,                0.76012,                0.78216,                0.64681,                 0.7697,                0.99352,                 1.2967,                0.78496,                 1.1659,                 1.3252,             0.00032641,             0.00032641,             0.00032641
                      9,                0.86066,                 1.4162,                 1.2915,                0.91788,                 1.7285,                 1.3241,                0.48642,                0.64071,                0.65326,                0.53827,                0.72347,                  1.646,                 1.2746,                0.79149,                 1.9596,                 1.3511,             0.00032531,             0.00032531,             0.00032531
                     10,                0.80035,                 1.3059,                 1.2506,                0.86496,                 1.5714,                  1.291,                0.68989,                0.72642,                0.80668,                0.68195,                0.68102,                0.94984,                 1.2139,                0.71131,                 1.0649,                 1.2235,             0.00032421,             0.00032421,             0.00032421
                     11,                0.79725,                 1.2731,                 1.2404,                0.85526,                  1.537,                 1.2854,                0.71976,                0.55514,                0.71152,                0.58491,                0.80819,                 1.2993,                 1.2825,                 0.8421,                 1.4245,                 1.3507,             0.00032311,             0.00032311,             0.00032311
                     12,                 0.7841,                 1.2464,                 1.2341,                0.85045,                 1.5008,                 1.2806,                0.61824,                0.72523,                0.78028,                0.60264,                0.95906,                 1.3216,                 1.4962,                 1.0405,                 1.4243,                 1.6314,             0.00032201,             0.00032201,             0.00032201
                     13,                0.76311,                 1.1637,                 1.2123,                0.82991,                 1.3957,                  1.255,                0.80823,                0.73043,                0.84296,                0.66118,                0.97555,                 0.7914,                  1.462,                0.97337,                0.91456,                  1.472,             0.00032091,             0.00032091,             0.00032091
                     14,                0.77138,                 1.1561,                 1.2264,                0.84008,                  1.362,                   1.27,                0.76293,                0.72372,                0.85401,                0.69181,                0.86015,                0.83825,                  1.319,                0.85876,                0.92475,                 1.3304,             0.00031981,             0.00031981,             0.00031981
                     15,                0.75202,                 1.0917,                 1.2102,                0.82863,                 1.2936,                 1.2601,                0.80797,                0.73036,                0.82237,                0.64811,                0.89339,                0.76285,                 1.4154,                0.94844,                0.89013,                 1.4937,             0.00031871,             0.00031871,             0.00031871
                     16,                0.75516,                 1.1112,                 1.2111,                0.81238,                 1.3182,                 1.2508,                0.71122,                0.79175,                0.81676,                0.68733,                0.72818,                0.83287,                  1.225,                0.76594,                0.91211,                 1.2589,             0.00031762,             0.00031762,             0.00031762
