                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5153,                 4.0748,                 2.0694,                 1.3233,                 9.7874,                 1.9624,                0.31819,                0.13974,                0.10622,                0.03913,                 2.4335,                  8.391,                 3.5888,                 2.1192,                 14.303,                 3.2043,             0.00010869,             0.00010869,             0.00010869
                      2,                 1.1979,                 2.7166,                 1.6522,                 1.1167,                  4.229,                  1.591,                 0.3123,                0.43678,                0.36468,                0.23526,                 1.3226,                 3.2182,                 1.9713,                 1.3478,                 4.7708,                 1.9666,             0.00021896,             0.00021896,             0.00021896
                      3,                 1.2101,                 2.3452,                 1.6292,                 1.1744,                 3.1431,                 1.5948,                0.43729,                0.40679,                0.39664,                 0.2416,                 1.4575,                 2.6177,                 2.2383,                 1.4902,                 3.4892,                 2.1389,              0.0003285,              0.0003285,              0.0003285
                      4,                 1.2127,                 2.3016,                 1.6262,                  1.229,                 2.8065,                 1.6308,                0.27262,                0.43934,                 0.3729,                0.20145,                   1.67,                 2.8842,                 2.3849,                 1.6474,                 4.1077,                 2.3005,              0.0003297,              0.0003297,              0.0003297
                      5,                 1.1899,                 2.1251,                 1.5859,                 1.1981,                 2.6024,                 1.5907,                0.68236,                0.49068,                0.59705,                0.33857,                 1.7817,                 1.9982,                 2.4293,                 1.7913,                 2.3002,                 2.4833,              0.0003297,              0.0003297,              0.0003297
                      6,                 1.1385,                 1.9579,                 1.5402,                 1.1528,                 2.3486,                 1.5668,                0.58442,                0.52931,                0.60802,                0.42975,                 1.1447,                 1.5047,                 1.5401,                 1.2494,                 1.8272,                 1.6483,              0.0003286,              0.0003286,              0.0003286
                      7,                 1.1382,                 1.8565,                 1.5327,                 1.1736,                 2.2248,                 1.5634,                0.48266,                0.74069,                0.71065,                0.43481,                 1.5806,                 1.3034,                 2.0152,                 1.6794,                 1.8056,                 2.1708,             0.00032751,             0.00032751,             0.00032751
                      8,                 1.1108,                 1.8222,                 1.5183,                 1.1275,                 2.2058,                 1.5369,                0.65505,                0.57929,                0.70543,                0.50327,                 1.3119,                 1.6429,                 1.7855,                 1.2807,                 1.7085,                 1.8013,             0.00032641,             0.00032641,             0.00032641
                      9,                 1.1108,                 1.6997,                 1.5061,                 1.1527,                 2.0358,                 1.5271,                0.62125,                0.64804,                0.72413,                 0.3965,                 1.9226,                 1.3886,                 2.6095,                 1.9669,                 1.6129,                 2.7169,             0.00032531,             0.00032531,             0.00032531
                     10,                 1.0996,                 1.7515,                 1.5022,                 1.1428,                 2.0713,                 1.5172,                0.67301,                0.57076,                0.73338,                0.48984,                 1.4232,                  1.383,                 1.8436,                  1.417,                 1.5883,                 1.8869,             0.00032421,             0.00032421,             0.00032421
                     11,                 1.0622,                 1.6707,                  1.477,                 1.1151,                 2.0004,                 1.4975,                0.68048,                0.53283,                0.68163,                0.48103,                 1.2389,                 1.6413,                 1.5544,                 1.2063,                 1.8229,                 1.5639,             0.00032311,             0.00032311,             0.00032311
                     12,                 1.0645,                 1.5961,                 1.4664,                  1.114,                 1.9087,                 1.4949,                0.65824,                0.72652,                0.75679,                0.45243,                 1.7103,                 1.2823,                  2.271,                  1.674,                  1.251,                 2.2485,             0.00032201,             0.00032201,             0.00032201
