                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3236,                  3.861,                 2.0525,                 1.1798,                 10.137,                 1.9738,                0.28299,                 0.4874,                0.26927,                0.23226,                0.67082,                 3.1687,                 1.1217,                0.67478,                 13.929,                 1.1107,             8.1597e-05,             8.1597e-05,             8.1597e-05
                      2,                0.71231,                 1.9403,                 1.3444,                0.70338,                 3.7922,                 1.3523,                 0.6209,                0.55704,                0.63418,                0.54219,                0.64048,                 1.8402,                 1.1313,                0.65561,                 5.1149,                  1.096,             0.00016439,             0.00016439,             0.00016439
                      3,                0.62679,                  1.533,                 1.2648,                0.66336,                 2.4051,                 1.2919,                0.62717,                0.63703,                0.66837,                0.58074,                 0.5109,                 1.6591,                 0.8859,                0.57531,                 2.9511,                0.95096,             0.00024663,             0.00024663,             0.00024663
                      4,                0.60099,                 1.3963,                 1.2324,                0.64068,                   1.85,                 1.2536,                0.61369,                0.65668,                0.71651,                0.57785,                0.76984,                 1.4832,                 1.2558,                 0.8532,                 2.4096,                 1.3335,             0.00024753,             0.00024753,             0.00024753
                      5,                 0.5583,                 1.2627,                 1.1987,                0.60446,                 1.5601,                 1.2253,                0.65931,                0.79115,                0.75581,                0.69994,                0.44034,                0.98658,                 0.6588,                0.42054,                 1.5282,                0.67867,             0.00024753,             0.00024753,             0.00024753
                      6,                0.52707,                 1.2221,                 1.1767,                0.57551,                 1.4604,                 1.2064,                0.71792,                0.80449,                0.88246,                0.72753,                0.61584,                 1.0689,                 1.0508,                0.69336,                 1.3855,                 1.1117,              0.0002467,              0.0002467,              0.0002467
                      7,                0.48827,                 1.1379,                 1.1493,                0.53085,                 1.3184,                 1.1737,                0.79589,                0.88804,                0.90904,                0.79769,                 0.5405,                0.90216,                 0.8393,                0.54734,                 1.1479,                 0.8976,             0.00024587,             0.00024587,             0.00024587
                      8,                0.47554,                 1.1022,                 1.1328,                0.51874,                 1.2368,                 1.1546,                0.79105,                0.80195,                0.87904,                0.76956,                0.59266,                0.90467,                0.88158,                  0.628,                  1.129,                0.95186,             0.00024505,             0.00024505,             0.00024505
                      9,                0.45903,                 1.0275,                 1.1236,                0.49959,                 1.1747,                 1.1462,                 0.8383,                0.88622,                0.93688,                0.86786,                0.35459,                0.58305,                0.61289,                0.39264,                0.70572,                0.71453,             0.00024422,             0.00024422,             0.00024422
                     10,                0.44184,                 1.0242,                 1.1181,                0.48383,                 1.1538,                 1.1403,                0.85895,                0.90909,                0.94059,                0.84799,                0.43679,                0.51513,                0.65791,                0.50558,                 0.6361,                0.76904,              0.0002434,              0.0002434,              0.0002434
                     11,                0.42287,                0.99407,                 1.0952,                0.47017,                 1.1141,                 1.1174,                0.82834,                0.86305,                0.92421,                0.89276,                0.27565,                0.49951,                0.46812,                0.29304,                 0.6136,                0.52176,             0.00024258,             0.00024258,             0.00024258
                     12,                0.42285,                 0.9496,                 1.0991,                0.46417,                 1.0569,                 1.1192,                0.88376,                0.91588,                0.93871,                0.89979,                0.33606,                0.48443,                0.48179,                0.35508,                 0.5174,                0.56815,             0.00024175,             0.00024175,             0.00024175
                     13,                0.39781,                0.92674,                 1.0785,                 0.4379,                 1.0261,                 1.0993,                0.86506,                0.92624,                0.96102,                0.95372,                0.20845,                0.43256,                0.32318,                0.18828,                0.41102,                0.34703,             0.00024093,             0.00024093,             0.00024093
                     14,                0.38091,                0.90323,                 1.0716,                 0.4217,                0.98488,                 1.0924,                0.88043,                0.91239,                0.94919,                0.94605,                0.16913,                 0.3582,                0.29485,                0.16074,                0.44253,                 0.3401,              0.0002401,              0.0002401,              0.0002401
                     15,                0.39189,                0.90099,                 1.0743,                0.43197,                0.97795,                 1.0935,                0.88496,                0.92101,                0.95929,                0.95051,                 0.2286,                0.36118,                0.34785,                0.18998,                 0.4136,                0.33786,             0.00023928,             0.00023928,             0.00023928
                     16,                0.38191,                0.88999,                 1.0702,                0.42149,                0.96426,                 1.0908,                0.92963,                0.93328,                0.96104,                 0.9162,                0.29422,                0.44035,                 0.5146,                0.32964,                0.38368,                0.57153,             0.00023845,             0.00023845,             0.00023845
                     17,                0.36708,                0.85718,                 1.0646,                0.40197,                0.93509,                 1.0812,                0.90681,                0.91564,                0.95933,                0.91749,                0.30167,                0.38218,                0.45251,                0.33675,                0.39592,                0.55664,             0.00023763,             0.00023763,             0.00023763
                     18,                0.35966,                0.84802,                 1.0597,                0.40046,                 0.9236,                 1.0756,                0.94035,                0.91495,                0.97041,                0.96982,                0.10357,                0.26188,                0.20317,                0.11737,                0.30426,                0.22478,              0.0002368,              0.0002368,              0.0002368
                     19,                0.35392,                0.81283,                 1.0501,                0.39343,                 0.8661,                 1.0688,                 0.9437,                0.92826,                 0.9766,                 0.9698,                0.18443,                0.31633,                0.30354,                0.15729,                 0.2791,                0.32273,             0.00023598,             0.00023598,             0.00023598
                     20,                0.35152,                0.81804,                 1.0495,                0.38714,                0.88674,                 1.0673,                0.86538,                0.94145,                  0.971,                0.96671,                 0.1629,                 0.3255,                0.32469,                0.17304,                 0.3352,                0.36738,             0.00023515,             0.00023515,             0.00023515
                     21,                0.36414,                0.81852,                 1.0597,                0.40035,                0.87878,                 1.0783,                 0.9139,                0.95891,                0.97858,                0.96836,                0.21485,                0.29254,                0.34747,                0.20642,                 0.2831,                0.37004,             0.00023433,             0.00023433,             0.00023433
                     22,                0.33097,                0.77019,                 1.0358,                0.36437,                0.83142,                  1.052,                0.92557,                0.95286,                0.97964,                 0.9757,                 0.2019,                0.26522,                0.32043,                0.16698,                0.25138,                0.30673,              0.0002335,              0.0002335,              0.0002335
                     23,                0.33944,                0.76903,                  1.042,                0.37428,                0.81698,                 1.0558,                0.89456,                 0.9669,                0.97174,                0.96473,                 0.2113,                 0.2878,                 0.3067,                0.19146,                0.27116,                0.30234,             0.00023268,             0.00023268,             0.00023268
                     24,                0.33947,                0.78121,                 1.0467,                0.37545,                0.83537,                 1.0624,                0.95124,                0.91783,                0.98317,                0.98019,                0.15798,                0.28257,                0.30363,                0.15368,                0.26371,                0.29963,             0.00023185,             0.00023185,             0.00023185
                     25,                0.32729,                0.75787,                 1.0353,                0.36135,                0.81348,                  1.051,                0.94772,                0.94818,                0.98348,                0.97318,                 0.2308,                0.24863,                0.34753,                0.22129,                0.25073,                0.36533,             0.00023103,             0.00023103,             0.00023103
                     26,                 0.3279,                0.75273,                 1.0388,                0.36191,                0.79932,                 1.0552,                   0.95,                0.96412,                0.98721,                0.94506,                0.27448,                0.29642,                0.51928,                0.29252,                 0.2375,                0.56411,              0.0002302,              0.0002302,              0.0002302
                     27,                0.32913,                0.73855,                 1.0296,                0.36098,                0.78077,                 1.0446,                0.91187,                  0.947,                0.97195,                0.95078,                0.31775,                0.32201,                0.43568,                0.29474,                0.31278,                0.44372,             0.00022938,             0.00022938,             0.00022938
                     28,                 0.3162,                0.74148,                 1.0327,                0.35029,                0.79636,                 1.0501,                0.97254,                0.97093,                0.98938,                0.98756,                0.20104,                0.25136,                 0.2997,                0.13824,                0.16028,                0.24962,             0.00022855,             0.00022855,             0.00022855
                     29,                0.31652,                0.72049,                 1.0264,                0.34837,                0.76095,                 1.0407,                0.94564,                0.93968,                0.98828,                0.98556,                0.12412,                0.24771,                0.23435,                0.15633,                 0.2427,                0.28022,             0.00022773,             0.00022773,             0.00022773
                     30,                0.31419,                0.72801,                 1.0302,                0.34704,                0.76874,                 1.0469,                0.92136,                0.96038,                0.97788,                0.97488,                0.17268,                0.27514,                0.31779,                0.16922,                0.23647,                0.34201,              0.0002269,              0.0002269,              0.0002269
                     31,                0.30782,                0.71464,                 1.0164,                0.34249,                0.75763,                 1.0326,                0.96169,                 0.9622,                0.98718,                0.97278,                0.22589,                0.27384,                0.38934,                0.20165,                0.19523,                0.38399,             0.00022608,             0.00022608,             0.00022608
                     32,                0.29468,                0.67728,                  1.009,                0.32244,                0.71319,                 1.0208,                0.93391,                0.97592,                0.98578,                 0.9586,                0.26182,                0.36949,                0.39961,                0.26468,                0.22778,                0.42568,             0.00022525,             0.00022525,             0.00022525
                     33,                0.29363,                0.68344,                 1.0105,                0.32013,                0.71728,                 1.0218,                0.94353,                0.96003,                0.98609,                0.98306,                0.12964,                0.24752,                0.20671,                0.15269,                0.22005,                0.25374,             0.00022443,             0.00022443,             0.00022443
                     34,                0.29145,                0.66788,                  1.019,                0.32165,                0.71306,                  1.035,                0.95103,                0.98338,                   0.99,                 0.9879,                0.13534,                0.20439,                0.25244,                0.13042,                0.15868,                0.25773,              0.0002236,              0.0002236,              0.0002236
                     35,                0.28319,                0.66782,                 1.0053,                 0.3125,                0.71018,                 1.0169,                0.95103,                0.95035,                0.98687,                0.98291,                0.13117,                0.22843,                0.24678,                0.15105,                0.21083,                0.27602,             0.00022278,             0.00022278,             0.00022278
                     36,                0.27511,                0.64562,                0.99729,                0.30588,                0.68539,                 1.0086,                0.95976,                0.98598,                0.99297,                0.99076,                0.18755,                0.20556,                0.28546,                0.15479,                0.14108,                0.25427,             0.00022195,             0.00022195,             0.00022195
                     37,                0.28098,                0.65767,                 1.0001,                0.31122,                0.69501,                 1.0124,                0.95637,                0.98013,                0.99328,                0.99308,                0.12525,                0.20416,                0.20697,                0.13566,                0.15246,                0.22939,             0.00022112,             0.00022112,             0.00022112
                     38,                0.29564,                0.66239,                 1.0116,                0.32602,                0.69006,                 1.0249,                0.95836,                 0.9633,                0.99109,                0.99109,                 0.1028,                0.19114,                0.21135,                0.10094,                0.16249,                 0.2225,              0.0002203,              0.0002203,              0.0002203
                     39,                0.27723,                0.63846,                 1.0009,                0.30761,                0.67647,                  1.013,                0.97107,                 0.9801,                0.99281,                0.99065,                0.13389,                 0.1774,                0.27116,                0.12602,                0.13194,                  0.285,             0.00021948,             0.00021948,             0.00021948
                     40,                0.27659,                0.65501,                 1.0029,                0.30796,                 0.6835,                  1.015,                0.96667,                0.97234,                 0.9924,                0.99109,                0.12633,                0.18251,                0.25451,                 0.1124,                0.14491,                0.23408,             0.00021865,             0.00021865,             0.00021865
                     41,                0.27603,                0.61911,                 1.0044,                0.30555,                0.64493,                 1.0175,                0.97611,                 0.9821,                0.99421,                0.99368,                0.11745,                0.16733,                0.23148,                0.13702,                0.11699,                0.26457,             0.00021782,             0.00021782,             0.00021782
                     42,                0.26962,                0.60505,                 0.9943,                0.30196,                0.63246,                 1.0083,                 0.9411,                0.95365,                 0.9891,                0.97976,                0.14637,                0.22718,                0.29461,                0.16721,                0.20086,                0.33875,               0.000217,               0.000217,               0.000217
                     43,                0.27496,                0.62895,                 1.0061,                0.30408,                0.66387,                 1.0179,                0.95983,                0.97258,                0.99036,                0.98994,                0.15575,                0.17187,                0.24752,                0.13718,                0.15566,                0.24467,             0.00021617,             0.00021617,             0.00021617
                     44,                0.27121,                 0.6252,                0.99737,                0.30209,                 0.6542,                 1.0097,                0.96456,                0.97461,                0.99384,                 0.9936,                 0.0972,                0.15347,                0.17848,                0.09269,                0.12242,                0.19948,             0.00021535,             0.00021535,             0.00021535
                     45,                0.27685,                0.59592,                 1.0021,                0.30705,                 0.6364,                 1.0151,                0.93652,                0.95073,                0.98175,                0.98095,                0.12488,                0.25609,                0.19665,                0.15102,                0.24451,                0.23216,             0.00021452,             0.00021452,             0.00021452
                     46,                0.26292,                0.58637,                0.98755,                0.28963,                0.62049,                0.99993,                0.95013,                0.95059,                0.98754,                0.98706,                0.14572,                0.20495,                 0.2374,                0.13274,                0.18456,                0.24955,              0.0002137,              0.0002137,              0.0002137
                     47,                0.26086,                0.57064,                0.99183,                0.28545,                0.59532,                 1.0027,                0.96745,                 0.9766,                0.99369,                 0.9929,                0.14398,                0.20014,                0.21992,                0.10623,                0.12602,                0.20851,             0.00021288,             0.00021288,             0.00021288
                     48,                0.25943,                0.58041,                 0.9875,                0.28538,                0.60893,                0.99818,                 0.9471,                0.91804,                0.98773,                0.98769,                0.11337,                0.34673,                0.19002,                0.08115,                0.35525,                0.18202,             0.00021205,             0.00021205,             0.00021205
                     49,                0.25121,                0.60436,                0.98411,                0.27941,                 0.6366,                0.99669,                0.98365,                0.98915,                 0.9946,                 0.9946,                0.10529,                0.13771,                0.18798,                0.10689,                0.08209,                0.21223,             0.00021122,             0.00021122,             0.00021122
                     50,                0.25577,                0.59941,                 0.9895,                0.28822,                0.63848,                 1.0039,                0.96095,                0.99366,                0.99137,                0.99137,                0.11584,                0.18292,                0.21597,                 0.1128,                0.11623,                 0.2192,              0.0002104,              0.0002104,              0.0002104
                     51,                0.25513,                0.58121,                0.98919,                0.28237,                0.60842,                 1.0015,                0.96395,                0.98867,                0.99455,                0.99377,                0.08753,                0.15784,                0.19107,                0.07869,                0.10752,                0.18062,             0.00020958,             0.00020958,             0.00020958
                     52,                0.25498,                0.59383,                0.99095,                0.28145,                0.62868,                 1.0044,                0.96437,                  0.983,                0.99317,                0.98096,                0.23525,                0.22942,                 0.3633,                0.20966,                0.14542,                0.36552,             0.00020875,             0.00020875,             0.00020875
                     53,                0.26037,                  0.595,                0.99618,                0.28766,                0.62168,                  1.007,                0.96942,                0.98698,                0.99423,                0.99358,                0.16981,                0.15761,                0.25987,                0.14344,                0.11671,                0.24921,             0.00020792,             0.00020792,             0.00020792
                     54,                0.25212,                0.55925,                 0.9865,                0.27386,                0.57693,                0.99597,                0.97903,                0.98149,                0.99311,                0.99311,                0.10029,                 0.1617,                0.17485,                0.08511,                0.09706,                 0.1771,              0.0002071,              0.0002071,              0.0002071
                     55,                0.25638,                0.55827,                0.98667,                0.28022,                0.57863,                0.99835,                0.98392,                0.97432,                0.99265,                0.99117,                0.13759,                 0.1676,                0.23474,                0.16075,                0.11863,                0.25645,             0.00020628,             0.00020628,             0.00020628
                     56,                0.25309,                0.56123,                0.98602,                0.28211,                0.58712,                0.99761,                0.98469,                0.98613,                0.99434,                0.97525,                0.25603,                0.18488,                0.38892,                0.26044,                 0.1255,                0.39874,             0.00020545,             0.00020545,             0.00020545
                     57,                0.25567,                0.56878,                0.98213,                0.28164,                0.58969,                  0.992,                0.98053,                0.98305,                 0.9945,                0.99255,                0.12914,                0.15337,                0.22751,                0.13849,                0.10651,                0.24794,             0.00020463,             0.00020463,             0.00020463
                     58,                0.24227,                0.56139,                0.98438,                0.26923,                0.58392,                0.99515,                0.97497,                0.96328,                0.99198,                0.99189,                0.16458,                0.20483,                0.25718,                0.15165,                0.14797,                 0.2488,              0.0002038,              0.0002038,              0.0002038
                     59,                0.24842,                0.55092,                0.98131,                0.27539,                0.57128,                0.99232,                0.97481,                0.98032,                0.99435,                0.99435,                0.16313,                0.20181,                0.23917,                0.14246,                0.11422,                0.21687,             0.00020298,             0.00020298,             0.00020298
                     60,                0.24783,                0.55637,                0.98558,                0.27141,                0.58669,                0.99724,                0.99168,                0.98812,                0.99472,                0.99472,                0.10549,                0.13971,                0.17991,                0.12319,                0.07435,                0.19247,             0.00020215,             0.00020215,             0.00020215
                     61,                0.24417,                0.55294,                0.98192,                0.26947,                0.58189,                0.99295,                0.96941,                 0.9861,                0.99277,                0.99277,                0.11146,                0.16932,                0.20054,                  0.083,                0.09849,                0.17687,             0.00020133,             0.00020133,             0.00020133
                     62,                0.22847,                0.54324,                0.97133,                0.25602,                0.56207,                0.98264,                0.97693,                0.93706,                0.99228,                0.98847,                0.13859,                0.17206,                 0.2278,                0.13011,                0.16607,                0.24168,              0.0002005,              0.0002005,              0.0002005
                     63,                0.24551,                0.53942,                0.98294,                0.27331,                0.56202,                0.99657,                0.98869,                0.98506,                0.99461,                0.99461,                0.07858,                0.13254,                0.15796,                 0.0649,                 0.0692,                0.15563,             0.00019967,             0.00019967,             0.00019967
