                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2099,                 4.7517,                 1.6781,                 1.0544,                 16.322,                 1.5676,                0.12218,                0.28071,                0.10554,                0.07576,                 1.0466,                 4.6251,                 1.5404,                0.94337,                 16.942,                 1.4463,             0.00010869,             0.00010869,             0.00010869
                      2,                0.89553,                 2.4594,                 1.3025,                 0.8485,                 5.2296,                  1.274,                0.39142,                0.38548,                0.31591,                0.26368,                0.74124,                 2.3203,                 1.2801,                0.75509,                 6.4152,                 1.2876,             0.00021896,             0.00021896,             0.00021896
                      3,                0.85937,                 1.8323,                 1.2563,                0.86636,                 3.1449,                 1.2684,                0.44765,                0.54618,                0.48961,                0.38748,                0.93187,                 1.7432,                 1.4142,                0.87935,                 3.5238,                 1.3699,              0.0003285,              0.0003285,              0.0003285
                      4,                0.87957,                 1.6218,                 1.2536,                0.90841,                 2.3866,                 1.2665,                0.41391,                0.57748,                0.51563,                0.40553,                0.74359,                 2.0366,                 1.2959,                0.79008,                 3.2677,                 1.3594,              0.0003297,              0.0003297,              0.0003297
                      5,                  0.838,                 1.4155,                 1.2228,                0.88083,                 2.0081,                 1.2535,                0.56437,                0.64895,                0.64711,                0.50941,                0.93537,                 1.4558,                 1.4303,                0.96936,                 2.2256,                 1.4638,              0.0003297,              0.0003297,              0.0003297
                      6,                0.84085,                 1.3449,                  1.227,                0.90951,                 1.8334,                   1.26,                0.72122,                0.66376,                0.78019,                0.60159,                 0.9931,                 1.1137,                 1.4466,                0.97405,                 1.6105,                  1.473,              0.0003286,              0.0003286,              0.0003286
                      7,                0.82518,                 1.2436,                 1.2065,                0.89744,                  1.647,                 1.2435,                0.76057,                0.68752,                0.79883,                0.64404,                0.77629,                0.96948,                 1.2446,                0.78314,                 1.2811,                 1.2652,             0.00032751,             0.00032751,             0.00032751
                      8,                0.78846,                 1.1806,                 1.1845,                0.86065,                 1.5435,                 1.2215,                0.74925,                0.66009,                0.77072,                0.65518,                0.64676,                 1.0257,                  1.129,                0.69318,                 1.4022,                 1.1904,             0.00032641,             0.00032641,             0.00032641
                      9,                0.81435,                 1.1422,                 1.2041,                0.88116,                 1.4898,                 1.2342,                0.69792,                0.71885,                0.81164,                0.68399,                0.66185,                0.83744,                  1.155,                0.71664,                 1.1247,                 1.1956,             0.00032531,             0.00032531,             0.00032531
                     10,                0.77443,                 1.0693,                 1.1848,                0.84878,                 1.3724,                 1.2172,                0.72645,                0.72035,                0.79014,                0.66535,                0.69844,                0.98219,                 1.2058,                0.77192,                 1.3146,                 1.2739,             0.00032421,             0.00032421,             0.00032421
