                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5837,                 4.8097,                  2.065,                 1.3691,                 15.076,                 1.9039,                 0.1833,                0.16925,                0.07463,                0.03506,                 2.0619,                 4.5706,                 2.5453,                 1.9063,                 22.616,                 2.3468,             0.00010869,             0.00010869,             0.00010869
                      2,                  1.187,                 2.7271,                 1.5553,                 1.0996,                 5.1522,                  1.505,                0.29932,                 0.4876,                0.36615,                 0.1874,                 1.9115,                 2.5298,                 2.4565,                 1.8002,                 7.0247,                 2.3681,             0.00021896,             0.00021896,             0.00021896
                      3,                 1.1729,                 2.1803,                 1.5062,                 1.1354,                 3.3798,                 1.4853,                0.33574,                0.47613,                0.44667,                0.28052,                 1.4776,                 2.4042,                 1.8439,                 1.5356,                 4.5747,                 1.9132,              0.0003285,              0.0003285,              0.0003285
                      4,                  1.177,                 1.9855,                 1.5033,                 1.1776,                 2.7254,                 1.5144,                0.52362,                 0.5138,                0.57026,                0.33036,                 1.6247,                 1.9354,                  2.033,                 1.6475,                 3.2216,                 2.1009,              0.0003297,              0.0003297,              0.0003297
                      5,                 1.1591,                  1.818,                 1.4876,                  1.176,                 2.3817,                 1.5102,                0.55553,                0.61025,                0.61327,                0.36437,                 1.7443,                 1.5776,                 2.1439,                 1.6664,                 2.4239,                 2.1473,              0.0003297,              0.0003297,              0.0003297
                      6,                 1.1014,                 1.6244,                 1.4348,                 1.1324,                 2.1271,                 1.4544,                0.77494,                0.68196,                0.80726,                  0.525,                 1.4399,                 1.2823,                 1.7706,                 1.4553,                 1.6353,                 1.7963,              0.0003286,              0.0003286,              0.0003286
                      7,                 1.1233,                  1.637,                  1.457,                  1.166,                 2.0608,                  1.485,                0.66011,                0.69525,                0.77194,                0.49666,                 1.5245,                 1.2687,                 1.8484,                 1.5801,                 1.7168,                 1.9198,             0.00032751,             0.00032751,             0.00032751
                      8,                 1.0809,                 1.5553,                 1.4277,                 1.1283,                  1.958,                 1.4554,                0.73033,                0.71101,                0.76575,                0.52569,                  1.227,                 1.2608,                 1.5457,                 1.3092,                  1.585,                 1.6397,             0.00032641,             0.00032641,             0.00032641
                      9,                 1.0881,                 1.4617,                 1.4229,                 1.1254,                 1.8198,                 1.4446,                0.80769,                0.78986,                0.88351,                0.54065,                 1.6537,                0.92672,                 2.0623,                 1.6513,                 1.2002,                 2.0753,             0.00032531,             0.00032531,             0.00032531
                     10,                 1.0637,                  1.414,                 1.4074,                 1.1139,                 1.7993,                 1.4434,                0.83415,                0.75117,                0.86683,                0.53564,                 1.6384,                0.99791,                 1.9911,                 1.6277,                 1.1852,                 2.0309,             0.00032421,             0.00032421,             0.00032421
                     11,                 1.0571,                 1.4029,                  1.404,                  1.104,                 1.7539,                 1.4312,                0.78772,                 0.8325,                0.89327,                  0.546,                 1.6551,                0.85578,                  2.002,                 1.6354,                  1.018,                 1.9494,             0.00032311,             0.00032311,             0.00032311
                     12,                 1.0384,                 1.3471,                 1.3831,                 1.0915,                 1.6821,                 1.4125,                0.70405,                0.82416,                0.85848,                  0.561,                 1.3987,                0.92706,                   1.71,                 1.4554,                 1.0783,                 1.8172,             0.00032201,             0.00032201,             0.00032201
