                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4744,                 4.3715,                 2.1578,                 1.3292,                 14.317,                 2.0744,                0.12997,                0.41201,                0.16349,                0.12164,                 1.0906,                 4.1242,                 1.9363,                 1.1328,                 16.964,                 2.1137,             8.1597e-05,             8.1597e-05,             8.1597e-05
                      2,                0.77746,                 2.0952,                 1.3839,                0.75424,                 4.6965,                 1.3852,                0.51888,                0.59001,                0.61746,                0.54616,                0.55284,                 1.8023,                 1.0109,                0.57752,                 5.9891,                 1.0668,             0.00016439,             0.00016439,             0.00016439
                      3,                 0.6437,                 1.5826,                 1.2694,                 0.6692,                 2.8001,                 1.2922,                0.57768,                0.76749,                0.76084,                0.69896,                0.40118,                 1.5494,                0.78225,                 0.4317,                 3.4013,                0.85477,             0.00024663,             0.00024663,             0.00024663
                      4,                0.61166,                 1.3774,                 1.2417,                0.64905,                 2.0111,                 1.2637,                0.67542,                0.70514,                0.78139,                0.73432,                0.35622,                 1.2475,                0.61374,                 0.3638,                 2.4482,                0.64497,             0.00024753,             0.00024753,             0.00024753
                      5,                 0.5621,                 1.2597,                 1.1998,                0.61029,                 1.6791,                 1.2285,                  0.813,                0.87928,                0.91964,                0.79145,                0.53237,                0.92558,                0.98569,                0.61685,                 1.5806,                 1.1733,             0.00024753,             0.00024753,             0.00024753
                      6,                0.51798,                 1.1637,                 1.1706,                0.56732,                 1.4604,                 1.1987,                 0.8419,                0.85079,                0.93925,                0.90123,                0.33117,                0.66506,                0.51988,                 0.3382,                 1.1525,                0.56531,              0.0002467,              0.0002467,              0.0002467
                      7,                 0.4913,                 1.0946,                 1.1532,                 0.5429,                 1.3442,                 1.1801,                0.67159,                0.75367,                0.74458,                0.66036,                0.52232,                 1.1411,                0.84221,                0.56799,                  1.642,                 1.0029,             0.00024587,             0.00024587,             0.00024587
                      8,                0.46252,                 1.0429,                 1.1256,                0.50584,                 1.2244,                 1.1481,                0.87755,                0.92165,                0.94948,                0.91604,                0.28643,                0.52635,                 0.5089,                 0.3018,                0.79085,                0.57824,             0.00024505,             0.00024505,             0.00024505
                      9,                0.44404,                0.97914,                 1.1091,                0.48981,                 1.1229,                 1.1322,                0.85159,                0.87197,                0.93358,                0.89852,                0.27276,                0.56332,                0.47781,                0.28526,                0.83118,                0.54394,             0.00024422,             0.00024422,             0.00024422
                     10,                0.44991,                0.98013,                 1.1214,                0.48953,                  1.115,                 1.1449,                0.87339,                0.90477,                0.94831,                0.86495,                0.40737,                0.58144,                0.67767,                0.48687,                0.71479,                0.82098,              0.0002434,              0.0002434,              0.0002434
                     11,                0.42988,                0.94194,                  1.107,                0.47504,                 1.0666,                 1.1294,                0.87275,                0.94592,                0.96346,                0.95025,                0.25137,                0.35614,                0.41642,                0.24373,                0.52783,                0.43865,             0.00024258,             0.00024258,             0.00024258
                     12,                0.41343,                0.90088,                 1.0927,                0.46222,                  1.002,                 1.1151,                 0.9218,                0.93184,                 0.9698,                0.96493,                0.21094,                0.35686,                0.35299,                0.21835,                0.45478,                0.40735,             0.00024175,             0.00024175,             0.00024175
                     13,                0.41018,                0.89342,                 1.0902,                0.45437,                0.99201,                 1.1116,                0.88162,                0.90565,                0.96414,                0.93865,                0.29094,                0.42882,                0.43742,                0.31544,                0.51122,                0.49507,             0.00024093,             0.00024093,             0.00024093
                     14,                0.38575,                0.86308,                 1.0742,                0.43301,                0.96426,                 1.0978,                0.91115,                0.95746,                0.97157,                0.88781,                0.45673,                0.50265,                0.72445,                 0.4699,                 0.4511,                0.75964,              0.0002401,              0.0002401,              0.0002401
                     15,                0.39072,                0.84525,                 1.0758,                0.43385,                0.92599,                 1.0984,                0.93505,                0.94135,                0.97895,                0.96672,                0.25089,                0.32959,                0.44923,                0.24533,                0.37992,                0.48585,             0.00023928,             0.00023928,             0.00023928
                     16,                0.38013,                0.81658,                 1.0732,                 0.4209,                0.89116,                 1.0931,                0.93704,                0.94715,                0.98001,                0.96516,                0.26525,                0.34259,                0.46623,                0.22615,                0.35162,                 0.4544,             0.00023845,             0.00023845,             0.00023845
                     17,                0.36518,                0.79042,                 1.0635,                0.40541,                0.85582,                 1.0815,                 0.9411,                0.93375,                0.97842,                0.94861,                 0.3255,                 0.3139,                0.48655,                0.31399,                0.35473,                0.50811,             0.00023763,             0.00023763,             0.00023763
                     18,                0.36503,                0.79189,                 1.0598,                0.40414,                0.86417,                  1.081,                0.92455,                0.96309,                0.98055,                0.96946,                0.19599,                0.26983,                0.30047,                0.22914,                0.30065,                0.37708,              0.0002368,              0.0002368,              0.0002368
                     19,                 0.3522,                0.77958,                 1.0492,                0.39147,                0.84701,                 1.0696,                 0.9328,                0.95482,                0.98321,                0.96031,                0.28157,                0.35145,                0.47408,                0.26855,                0.32499,                0.52063,             0.00023598,             0.00023598,             0.00023598
                     20,                0.35669,                0.76012,                 1.0502,                0.39287,                0.81863,                 1.0678,                0.93339,                0.92375,                0.97609,                0.94288,                0.32384,                0.39559,                0.47266,                0.31942,                0.39444,                0.51345,             0.00023515,             0.00023515,             0.00023515
                     21,                 0.3566,                0.77366,                 1.0538,                0.39932,                0.82969,                 1.0757,                0.93786,                0.95528,                0.98305,                0.97056,                0.20391,                0.31617,                0.37518,                0.21668,                0.29465,                0.41766,             0.00023433,             0.00023433,             0.00023433
                     22,                0.33206,                0.72002,                 1.0342,                0.36693,                0.78091,                 1.0507,                 0.9668,                0.95527,                0.98963,                0.98561,                0.14487,                0.22792,                0.26034,                0.15719,                0.22373,                0.29419,              0.0002335,              0.0002335,              0.0002335
                     23,                0.34201,                0.72691,                  1.038,                0.38312,                 0.7805,                 1.0563,                0.94123,                0.91815,                0.96968,                0.95771,                 0.2304,                0.38809,                0.36542,                0.22367,                0.39076,                0.40332,             0.00023268,             0.00023268,             0.00023268
                     24,                 0.3269,                0.71826,                 1.0404,                0.36621,                0.76397,                 1.0596,                0.94584,                0.94862,                0.98195,                 0.9809,                 0.1281,                0.23459,                0.24201,                0.13831,                0.22972,                0.27858,             0.00023185,             0.00023185,             0.00023185
                     25,                0.32217,                0.70567,                 1.0295,                0.35496,                0.75479,                 1.0431,                0.94649,                0.94961,                0.98672,                0.98486,                0.19753,                0.25404,                0.29962,                0.19192,                0.23448,                0.31432,             0.00023103,             0.00023103,             0.00023103
                     26,                0.32786,                0.69696,                 1.0391,                0.36496,                0.74956,                 1.0539,                0.97855,                0.97972,                0.99282,                0.98984,                0.19573,                0.20514,                0.31268,                0.17361,                0.16416,                0.31483,              0.0002302,              0.0002302,              0.0002302
                     27,                0.32846,                0.66482,                 1.0266,                0.36706,                0.70703,                 1.0421,                0.93223,                0.96527,                0.98571,                0.95941,                0.23975,                 0.3101,                0.38881,                0.26171,                0.26523,                0.43852,             0.00022938,             0.00022938,             0.00022938
                     28,                0.32378,                 0.6994,                  1.035,                0.36518,                0.74164,                 1.0539,                0.97418,                0.97377,                0.99298,                 0.9718,                0.21731,                 0.2629,                 0.3622,                0.23622,                0.18587,                0.40536,             0.00022855,             0.00022855,             0.00022855
