                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.031,                 4.3517,                 1.4929,                0.89661,                 7.6489,                 1.4271,                0.00488,                0.87294,                0.06013,                0.04968,                0.49651,                  4.728,                 1.0866,                0.41489,                 12.432,                 1.0698,             0.00010869,             0.00010869,             0.00010869
                      2,                0.83344,                 3.8207,                 1.3085,                0.71428,                 6.7742,                 1.2207,                0.97606,                0.01282,                0.15746,                0.11988,                0.91956,                 4.4095,                 1.4621,                0.83582,                 12.216,                 1.4235,             0.00021896,             0.00021896,             0.00021896
                      3,                0.89338,                 3.3833,                  1.345,                0.76231,                 6.2606,                 1.2327,                0.49774,                0.21497,                0.27152,                0.20541,                0.93231,                  3.677,                 1.4865,                0.82076,                 10.848,                 1.3651,              0.0003285,              0.0003285,              0.0003285
                      4,                0.90873,                 2.9307,                 1.3299,                0.79904,                 5.6854,                 1.2323,                0.34017,                0.34303,                0.33071,                0.26768,                0.88907,                 3.4028,                 1.4039,                0.90386,                 9.6233,                 1.4653,              0.0003297,              0.0003297,              0.0003297
                      5,                0.85162,                 2.5049,                 1.2819,                0.78398,                 5.0048,                 1.2272,                0.46329,                0.42028,                0.45443,                0.38391,                0.75057,                 2.6345,                  1.242,                0.73769,                  8.136,                 1.2448,              0.0003297,              0.0003297,              0.0003297
                      6,                0.83716,                 2.2919,                 1.2603,                0.78933,                 4.6372,                 1.2166,                 0.6015,                0.47668,                0.57263,                 0.4734,                0.87742,                 2.4612,                 1.3141,                0.85286,                 7.2762,                 1.2995,              0.0003286,              0.0003286,              0.0003286
                      7,                0.82033,                 2.1042,                 1.2404,                0.78757,                 4.2821,                 1.2063,                0.62032,                0.41396,                0.54824,                0.45988,                 0.8206,                 2.4193,                 1.2743,                0.81591,                 6.5644,                 1.2915,             0.00032751,             0.00032751,             0.00032751
                      8,                0.82012,                 1.9251,                 1.2369,                0.79505,                 3.8403,                 1.2103,                0.59749,                0.54307,                0.64391,                0.54785,                0.68569,                 1.9692,                 1.1732,                0.70213,                 5.6741,                  1.185,             0.00032641,             0.00032641,             0.00032641
                      9,                0.80468,                 1.8453,                 1.2264,                0.79363,                 3.5951,                 1.2118,                0.39247,                0.60774,                0.60417,                0.51182,                0.68205,                 1.8633,                 1.1842,                0.73064,                 5.3587,                 1.2532,             0.00032531,             0.00032531,             0.00032531
                     10,                0.76354,                 1.6869,                 1.1963,                0.76631,                 3.2826,                 1.1904,                0.48748,                0.66138,                0.68707,                0.58825,                0.71066,                 1.5864,                 1.2023,                0.72123,                 4.5411,                 1.2452,             0.00032421,             0.00032421,             0.00032421
                     11,                0.76479,                 1.5914,                 1.1947,                  0.778,                 3.0092,                 1.1952,                0.65001,                0.50333,                 0.6495,                0.51919,                0.96043,                   1.82,                 1.3989,                0.92934,                 4.4242,                 1.3998,             0.00032311,             0.00032311,             0.00032311
                     12,                0.74232,                 1.5341,                 1.1769,                0.75197,                 2.7971,                 1.1736,                0.64331,                0.61804,                 0.7265,                0.56955,                 1.0249,                 1.6189,                 1.4946,                 1.0407,                  3.867,                 1.5337,             0.00032201,             0.00032201,             0.00032201
                     13,                0.73161,                 1.4766,                 1.1651,                0.74845,                 2.6695,                 1.1696,                 0.6306,                 0.7323,                0.74441,                0.59974,                 0.9185,                 1.5317,                 1.3798,                0.92748,                 3.5392,                 1.3826,             0.00032091,             0.00032091,             0.00032091
                     14,                0.73297,                 1.3951,                 1.1724,                0.75544,                 2.4458,                 1.1785,                0.69826,                0.68914,                0.77777,                 0.6038,                0.98296,                 1.4467,                 1.4474,                 1.0414,                 3.3491,                 1.5103,             0.00031981,             0.00031981,             0.00031981
                     15,                 0.7152,                  1.326,                 1.1622,                0.73764,                 2.2914,                  1.167,                0.61699,                0.69173,                0.75405,                0.60687,                0.86676,                  1.543,                  1.304,                0.90165,                 3.1435,                 1.3334,             0.00031871,             0.00031871,             0.00031871
                     16,                0.72444,                 1.3002,                  1.163,                0.74558,                 2.1654,                 1.1726,                 0.6329,                 0.7346,                 0.7731,                0.63815,                0.83737,                 1.3265,                 1.2835,                0.85382,                 2.6984,                  1.316,             0.00031762,             0.00031762,             0.00031762
                     17,                0.71343,                 1.2549,                 1.1506,                0.73743,                 2.0463,                 1.1592,                0.64584,                0.70384,                 0.7761,                0.62758,                0.88957,                 1.3425,                 1.3375,                0.89971,                 2.5776,                 1.3544,             0.00031652,             0.00031652,             0.00031652
                     18,                0.71626,                 1.2338,                 1.1544,                0.74384,                 1.9866,                 1.1649,                 0.7475,                0.75226,                 0.8366,                0.69213,                0.84606,                 1.0702,                 1.2858,                0.88822,                 2.2127,                 1.3274,             0.00031542,             0.00031542,             0.00031542
                     19,                0.69046,                 1.1749,                 1.1368,                0.72661,                  1.871,                  1.154,                0.82782,                0.69048,                0.84428,                 0.6776,                0.90228,                 1.1743,                 1.3324,                0.91409,                 2.2085,                 1.3955,             0.00031432,             0.00031432,             0.00031432
                     20,                0.69823,                  1.124,                 1.1431,                0.73366,                 1.7411,                 1.1545,                0.69539,                0.79669,                0.83167,                0.70525,                0.75382,                 1.1271,                 1.2216,                0.74876,                  1.985,                 1.2211,             0.00031322,             0.00031322,             0.00031322
                     21,                0.68253,                 1.0994,                 1.1354,                0.72873,                 1.6797,                 1.1539,                0.69336,                0.79486,                0.82279,                 0.6877,                0.76469,                 1.0285,                 1.2099,                0.78104,                  1.782,                 1.2349,             0.00031212,             0.00031212,             0.00031212
                     22,                0.68629,                 1.0842,                 1.1222,                0.72941,                 1.6397,                 1.1351,                0.65202,                 0.8372,                 0.8221,                0.67498,                0.82393,                 1.0338,                  1.282,                0.87565,                 1.7495,                 1.3384,             0.00031102,             0.00031102,             0.00031102
                     23,                0.68346,                 1.0435,                 1.1335,                0.72871,                 1.5514,                 1.1487,                0.74194,                0.75427,                0.80416,                0.64752,                0.87112,                 1.2278,                 1.2921,                0.88803,                 1.8451,                 1.3135,             0.00030992,             0.00030992,             0.00030992
                     24,                0.68163,                 1.0439,                 1.1261,                0.72298,                 1.5443,                 1.1435,                0.79395,                0.78127,                0.87805,                0.66838,                 1.0198,                0.98499,                 1.4847,                 1.0942,                 1.6126,                  1.599,             0.00030882,             0.00030882,             0.00030882
                     25,                0.66256,                0.99063,                  1.119,                0.70966,                  1.457,                  1.136,                0.69577,                0.64342,                0.74325,                0.61198,                0.85182,                 1.4054,                  1.274,                0.84454,                 1.9995,                 1.2768,             0.00030773,             0.00030773,             0.00030773
                     26,                0.67523,                0.99797,                 1.1264,                0.71349,                 1.4228,                 1.1417,                0.66298,                0.73359,                0.79528,                0.62663,                0.93804,                 1.2038,                 1.3662,                0.96983,                 1.7476,                 1.3858,             0.00030663,             0.00030663,             0.00030663
                     27,                0.68604,                0.97662,                 1.1181,                0.72678,                 1.3859,                 1.1315,                0.76772,                0.81463,                0.85815,                0.72915,                0.67657,                0.96832,                  1.146,                0.71512,                 1.4365,                 1.1813,             0.00030553,             0.00030553,             0.00030553
                     28,                0.66265,                0.94588,                 1.1132,                0.71174,                 1.3391,                 1.1327,                0.84593,                0.73136,                0.83775,                0.67314,                0.88284,                0.90819,                 1.3271,                0.88832,                 1.4449,                  1.347,             0.00030443,             0.00030443,             0.00030443
                     29,                0.66444,                 0.9225,                 1.1104,                0.70744,                 1.2991,                 1.1243,                0.74964,                0.77569,                 0.8525,                0.64201,                 1.0778,                0.96099,                  1.503,                 1.0893,                 1.4587,                 1.5369,             0.00030333,             0.00030333,             0.00030333
                     30,                 0.6636,                0.92289,                 1.1117,                0.71003,                 1.2733,                 1.1312,                 0.7992,                0.73433,                0.85127,                0.65734,                0.98131,                0.95113,                 1.4376,                0.99205,                 1.4193,                 1.4558,             0.00030223,             0.00030223,             0.00030223
                     31,                0.66645,                0.94235,                 1.1096,                0.71159,                 1.2782,                 1.1298,                 0.8693,                0.74217,                0.87497,                0.73373,                0.74018,                0.80966,                 1.2106,                0.74678,                 1.2255,                   1.22,             0.00030113,             0.00030113,             0.00030113
                     32,                0.64374,                0.87524,                 1.0941,                0.69077,                 1.1918,                 1.1152,                0.71918,                0.76168,                0.83587,                0.67906,                0.87991,                 0.9611,                  1.326,                0.91137,                 1.3171,                 1.3729,             0.00030003,             0.00030003,             0.00030003
                     33,                0.66422,                0.90869,                 1.1131,                 0.7147,                 1.2265,                 1.1308,                0.71832,                0.77224,                0.77123,                0.62405,                0.86845,                 1.2369,                 1.3087,                 0.8872,                 1.6454,                 1.3423,             0.00029893,             0.00029893,             0.00029893
                     34,                0.64637,                0.86132,                 1.1069,                 0.6869,                 1.1683,                 1.1247,                  0.816,                0.77096,                0.85447,                0.71079,                 0.8105,                0.90042,                 1.2406,                0.82168,                 1.1762,                 1.2553,             0.00029784,             0.00029784,             0.00029784
                     35,                0.64601,                0.81297,                 1.1018,                0.69311,                  1.094,                 1.1211,                0.76045,                0.80028,                0.86788,                0.68729,                0.88566,                0.86244,                 1.3229,                0.90713,                 1.1983,                 1.3375,             0.00029674,             0.00029674,             0.00029674
                     36,                0.62457,                0.78817,                 1.0785,                0.66957,                 1.0657,                 1.0968,                0.84778,                0.81529,                0.89606,                0.73141,                0.86244,                0.80259,                 1.3208,                0.85213,                 1.0812,                 1.3303,             0.00029564,             0.00029564,             0.00029564
                     37,                0.63756,                0.82558,                 1.0929,                0.69123,                 1.1064,                 1.1168,                0.86589,                0.74491,                0.87239,                0.68216,                0.94137,                 0.9395,                 1.3681,                0.96609,                 1.2527,                 1.3931,             0.00029454,             0.00029454,             0.00029454
                     38,                0.64381,                0.81478,                 1.1013,                0.69903,                 1.0851,                 1.1218,                0.84245,                0.81797,                0.89974,                0.72531,                 0.8348,                0.74975,                 1.2705,                0.84218,                0.98896,                 1.2825,             0.00029344,             0.00029344,             0.00029344
                     39,                0.62591,                 0.7971,                 1.0868,                0.67989,                 1.0374,                 1.1088,                0.83488,                0.82028,                0.90135,                0.73956,                0.75501,                0.69962,                 1.2052,                0.80036,                0.97251,                 1.2466,             0.00029234,             0.00029234,             0.00029234
                     40,                0.62559,                0.79167,                 1.0895,                0.67858,                 1.0448,                 1.1063,                0.84747,                0.84274,                0.91037,                0.75961,                0.75857,                 0.7766,                 1.1849,                0.77585,                0.99618,                  1.225,             0.00029124,             0.00029124,             0.00029124
